204,芦台春,天津泰达投资控股有限公司
205,南国置业LANGOLD,武汉南国置业股份有限公司
206,友利,江苏友利投资控股股份有限公司
207,城投控股,上海城投控股股份有限公司
208,福瀛,青岛福瀛建设集团有限公司
209,银华,湖南银华房地产开发有限公司
210,人和商业,人和商业控股有限公司
211,凤凰股份,江苏凤凰置业投资股份有限公司
212,中新CSSD,中新苏州工业园区置地有限公司
213,阳光新业,阳光新业地产股份有限公司
214,同济房产,上海同济科技实业股份有限公司
215,丰盛fullshare,南京丰盛产业控股集团有限公司
216,美好,美好置业集团股份有限公司
217,大中华GCIG,大中华国际集团(中国)有限公司
218,卓越集团,湖北卓越集团建设有限公司
219,宏苑,山西宏厦建筑工程有限公司
220,佳源Jianyuan,浙江佳源房地产集团有限公司
221,湘林,湘林集团有限公司
222,广物地产,广东广物房地产(集团)有限公司
223,九龙,湖南九龙经贸集团有限公司
224,三正SANGEN,广东三正集团有限公司
225,宏基伟业,河南宏基伟业地产集团有限公司
226,中大地产,中大房地产集团有限公司
227,中骏置业,厦门中骏集团有限公司
228,越秀,越秀地产股份有限公司
229,浙江东方,浙江东方集团股份有限公司
230,洋世达,重庆洋世达房地产开发有限公司
231,宝田地产,重庆宝田地产(集团)有限公司
232,曦圆,重庆曦圆房地产开发有限公司
233,聚丰,重庆聚丰房地产开发(集团)有限公司
234,巨宇JUYU,重庆巨宇实业(集团)有限公司
235,观澜湖MISSIONHILLS,深圳观澜湖高尔夫球会有限公司
236,湖南投资,湖南投资集团股份有限公司
237,虹亚,虹亚房地产开发(集团)有限公司
238,奥宸地产AUTREN,深圳市奥宸房地产开发有限公司
239,特房,厦门经济特区房地产开发集团有限公司
240,浙江经协,浙江省经协集团有限公司
241,信地,信地置业(合肥)有限公司
242,华地置业,安徽华地置业有限公司
243,名众,天津国际名众控股有限公司
244,益田YITIAN,深圳市益田集团股份有限公司
245,紫苑ZIYUAN,重庆紫苑实业(集团)有限公司
246,耀文YAOWEN,重庆耀文建设(集团)有限公司
247,恒誉HENGYU,浙江恒誉建设有限公司
248,振业,深圳市振业(集团)股份有限公司
249,九龙山NineDragon,上海九龙山旅游股份有限公司
250,路劲地产,路劲基建有限公司
251,星河湾,广州市宏宇集团股份有限公司
252,吉宝置业,吉宝鸿祥管理(上海)有限公司
253,大龙地产,北京市大龙伟业房地产开发股份有限公司
254,泰禾,泰禾集团股份有限公司
255,隆基泰和LONGJITAIHE,隆基泰和实业有限公司
256,古井房产,安徽古井房地产集团有限责任公司
257,大通,深圳大通实业股份有限公司
258,衡源,上海衡源企业发展有限公司
259,兴业国际,香港兴业国际集团有限公司
260,融信,融信(福建)投资集团有限公司
261,渝开发UKF,重庆渝开发股份有限公司
262,鲁能LUNENG,鲁能集团有限公司
263,建发股份,厦门建发股份有限公司
264,锦天地产,重庆市锦天地产(集团)有限公司
265,渝德能DENENG,重庆市德能房地产开发有限责任公司
266,乡林Shining,乡林集团
267,中江国际,中国江苏国际经济技术合作集团有限公司
268,奥体建设AOTI,南京奥体建设开发有限责任公司
269,金新城,金新城置业集团有限公司
270,光宇GUANGYU,重庆光宇建设开发(集团)有限公司
271,中哲CHISAGE,浙江中哲控股集团有限公司
272,德展DEZHAN,德展金投集团有限公司
273,万通控股VANTONE,万通投资控股股份有限公司
274,松江CIITY,天津松江股份有限公司
275,海亮地产hlland,海亮地产控股集团管理有限公司
276,深圳天地,深圳市天地(集团)股份有限公司
277,和一置业,湖南和一实业集团有限公司
278,新尚SHINESUN,成都新尚网络科技股份有限公司
279,正丰,宁夏正丰房地产开发有限公司
280,华宇,重庆华宇物业服务有限公司
281,金九KINGO,重庆金九房地产开发有限公司
282,大泽置业,重庆市大泽置业代理有限公司
283,明发,重庆市明发房地产开发有限公司
284,协信SINCE,重庆协信控股(集团)有限公司
285,康德KANGDE,重庆市康德实业(集团)有限公司
286,渝高YUGAO,重庆渝高科技产业(集团)股份有限公司
287,普惠置业,重庆市普惠置业有限公司
288,福中,福中集团有限公司
289,鹰城YINGCHENG,河南鹰城集团有限公司
290,丽丰控股LAIFUNGHOLDINGS,丽丰控股有限公司
291,宏运HONGYUN,宏运集团有限公司
292,金龙king dragon,浙江金龙房地产投资集团有限公司
293,兴旺SUNWALK,湖南兴旺建设有限公司
294,天元置业,天元置业有限公司
295,海德东方,广东海德集团有限公司
296,美景MEIJING,河南省美景集团有限公司
297,东湖,武汉东湖高新集团股份有限公司
298,天悦,深圳市天悦房地产开发有限公司
299,宏腾地产,河南宏腾地产有限公司
300,万正,河南省万正置业集团有限公司
301,圣丰,广东圣丰集团有限公司
302,名冠MG,广东名冠集团有限公司
303,花样年FANTASIA,花样年集团(中国)有限公司
304,科房KEFAN,上海科房投资有限公司
305,隆鑫地产,隆鑫集团有限公司
306,一方YIFANG,大连一方集团有限公司
307,万寿,浙江万寿建筑工程有限公司
308,金明寓,临沭县金明寓房地产开发有限公司
309,东方佳园,山东东方佳园房地产开发集团有限公司
310,德兴DEXING,山东德兴集团建设工程有限公司
311,朵力DOORLEAD,重庆钢铁集团朵力房地产股份有限公司
312,新建元SUNGENT,苏州新建元控股集团有限公司
313,致豪地产GEHO,江苏致豪房地产开发有限公司
314,天洋SkyOcean,北京天洋国际控股有限公司
315,海航投资,海航投资集团股份有限公司
316,万安集团VieGroup,万安集团有限公司
317,深业泰然,深业泰然(集团)股份有限公司
318,华瀚HUAHAN,华瀚投资集团有限公司
319,合正Hezens,深圳市合正房地产集团有限公司
320,泰达TEDA,天津泰达集团有限公司
321,祥生XIANGSHENG,祥生实业集团有限公司
322,峨嵋半山七里坪,四川洪雅七里坪半山旅游开发有限公司
323,王氏,王氏企业(香港)有限公司
324,博大BROAD,武汉博大房地产开发有限责任公司
325,海韵OceanSonic,三亚海韵集团有限公司
326,山水房产,山东中孚嘉集团有限公司
327,美事达Maystar,美事达投资控股股份有限公司
