电气专业	电气设备	低压配电装置及低压电器	50	2
电气专业	电气设备	电气测量及自动控制仪表	50	6
电气专业	电气设备	电气装置件	50	3
电气专业	电气设备	变压器及电源系统	50	4
电气专业	电气设备	继电器	50	5
电气专业	电气设备	电动执行机构	50	7
电气专业	电气设备	电线电缆及附件	50	8
电气专业	电气设备	防雷接地装置	50	9
电气专业	设备自动化与监控	建筑设备监控系统	52	1
电气专业	设备自动化与监控	火灾自动报警及自动控制装置	52	3
电气专业	安全防范	视频监视系统	53	1
电气专业	安全防范	楼宇对讲系统	53	1
电气专业	安全防范	门禁系统	53	1
电气专业	安全防范	停车场管理系统	53	1
电气专业	安全防范	智能家居系统	53	1
电气专业	网络与通讯系统	系统与设备设施	54	1
电气专业	网络与通讯系统	有线电视系统	54	3
电气专业	照明	光源	51	1
电气专业	照明	灯具	51	2
电气专业	照明	光源附件装置	51	3
