阿旗220千伏输变电站建设工程建筑面积为38487平方米监管中心迁建项目52655651,总投资1720万元电力改迁工程,http://www.qianlima.com/zb/detail/20170317_52655651.html,三门峡,商业,设计阶段,公用事业设施,不装修,1720万,2017-05-18
51038312,总建筑面积约13500平方米粤桂合作特别试验区江南片区旺步小学教育发展建设项目,http://www.qianlima.com/zb/detail/20170215_51038312.html,梧州,政府,设计阶段,办公楼,教育及研究,简装修,2100万,2017-02-22
42241393,总建筑面积约为40000平方米职教综合实训基地建设工程,http://www.qianlima.com/zb/detail/20160912_42241393.html,重庆,政府,施工在建,教育及研究,简装修,9100万,2017-05-24
41514913,总建筑面积48235平方米交通客运枢纽建设工程,http://www.qianlima.com/zb/detail/20160829_41514913.html,阳泉,政府,设计阶段,交通,简装修,15000万,2017-01-03
16330587,建筑面积128541平方米人民医院新建工程,http://www.qianlima.com/zb/detail/20140827_16330587.html,无锡,商业,施工在建,医疗,简装修,未确定,2017-04-10
54050124,占地面积120666平方米厂房建设项目,http://www.qianlima.com/zb/detail/20170411_54050124.html,宜春,商业,立项,工业,未确定,60000万,2017-04-12
53478552,总占地面积为40000平方米老年养护中心项目,http://www.qianlima.com/zb/detail/20170331_53478552.html,湘西土家族苗族自治州,商业,立项,办公楼,酒店与餐饮,休闲娱乐,医疗,不装修,20000万,2017-04-01
50268203,总建筑面积为13668平方米南星单元D C5 14地块社区卫生服务中心及南星单元D R24 11地块小区绿化社区卫生服务中心建设工程,http://www.qianlima.com/zb/detail/20170119_50268203.html,杭州,政府,立项,医疗,简装修,8000万,2017-02-06
51570537,总建筑面积3000平方米盘县石桥镇洞镜湖旅游综合开发项目,http://www.qianlima.com/zb/detail/20170227_51570537.html,六盘水,政府,立项,休闲娱乐,基础建设,简装修,8000万,2017-03-08
52244409,总占地面积约为5000平方米宁波市奉化市滨海新区工业园区纬二路以北经一路以西地块工业发展厂房建设项目,http://www.qianlima.com/zb/detail/20170310_52244409.html,宁波,商业,立项,工业,不装修,1200万,2017-03-15
39925958,总建筑面积约为5000平方米展园建设项目,http://www.qianlima.com/zb/detail/20160727_39925958.html,南阳,商业,施工准备,会展,未确定,800万,2017-02-24
25549737,总建筑面积约为177900平方米城中村建设工程,http://www.qianlima.com/zb/detail/20150804_25549737.html,西安,商业,施工在建,住宅,简装修,21000万,2017-02-10
54890937,2017年集中供热工程,http://www.qianlima.com/zb/detail/20170424_54890937.html,乌兰察布盟,商业,施工准备,基础建设,公用事业设施,不装修,15000万,2017-04-26
55628597,天义路跨河景观桥建设项目,http://www.qianlima.com/zb/detail/20170508_55628597.html,赤峰,政府,立项,基础建设,不装修,2000万,2017-05-11
50248373,总建筑面积约20050平方米NGB业务中心大楼建设工程,http://www.qianlima.com/zb/detail/20170119_50248373.html,莆田,商业,设计阶段,办公楼,不装修,7300万,2017-02-23
43971805,总建筑面积为6417平方米拘留所迁建工程,http://www.qianlima.com/zb/detail/20161014_43971805.html,邯郸,政府,施工准备,司法,不装修,2000万,2017-03-29
48939373,总建筑面积约40000平方米万州经开区高峰园檬子北区标准厂房(一期)建设项目,http://www.qianlima.com/zb/detail/20161226_48939373.html,重庆,商业,施工在建,办公楼,工业,简装修,10000万,2017-05-16
52303371,总建筑面积9820平方米荣誉军人休养院建设项目,http://www.qianlima.com/zb/detail/20170313_52303371.html,承德,政府,立项,医疗,交通,简装修,1800万,2017-03-14
56441485,建筑面积为1664平方米教学综合楼工程,http://www.qianlima.com/zb/detail/20170518_56441485.html,廊坊,政府,施工准备,教育及研究,简装修,320万,2017-05-24
